wikidata_code_B,education
Q234621,['Experimental Centre of Cinematography']
Q47556,['University of Bologna']
Q134798,['Waseda University']
Q26372,"['Adachi Ward fourth junior high school', 'Tokyo Metropolitan Adachi High School', 'Meiji University']"
Q272855,"['University of Kent', 'University of East Anglia', 'Woking County Grammar School for Boys']"
Q132345,"['Seikei University', 'University of Southern California', 'USC Sol Price School of Public Policy', 'Seikei Elementary School', 'Seikei Junior and Senior High School']"
Q345494,['Tokyo University of the Arts']
Q275900,['Kunitachi College of Music']
Q12382,['Kanazawa College of Art']
Q185421,['Japan Institute of the Moving Image']
Q285084,['Tokyo Gakugei University']
Q705522,['Nihon University']
Q348436,['Meisei University']
Q219948,"[""Japan Women's University""]"
Q378710,['Miyagi Prefectural Sanuma Senior High School']
Q23261,['Osaka University of Arts']
Q312327,['Kanagawa University']
Q380265,['Musashino Art University']
Q273652,['']
Q381799,['University of Southern California']
Q205058,['Yokohama City University']
Q457860,['Chuo University']
Q253350,"[""Japan Women's University""]"
Q53834,"['Rikkyo University', 'Sundance Institute']"
Q110963,"['Tohoku University', 'Toyama Chubu High school', 'Toyama City Shimazono Junior High School']"
Q526725,"['Cooper Union', 'Tokyo University of the Arts']"
Q730065,"['University of Tokushima', 'Nagoya University']"
Q131077,"['University of Tokyo', 'Stanford University']"
Q719205,['Waseda University']
Q713511,['Keio University']
Q919236,['Rikkyo University']
Q451058,"['Waseda University', 'University of Hamburg', 'University of Zurich']"
Q725462,"['University of Tokyo', 'Columbia University', 'Keio University']"
Q217096,"['Merton College', 'Gakushuin University']"
Q236684,['Seikei University']
Q34580,['Setagaya Gakuen  Junior High School and  High School']
Q535906,"['California State University, Los Angeles']"
Q238290,['University of Music and Performing Arts Vienna']
Q738544,['Nihon University']
Q1344415,['Kanto Gakuin University']
Q206215,['Kyoto University']
Q1138332,['Meiji University']
Q125970,['Osaka Prefecture University']
Q267471,['Tama Art University']
Q305523,"['Institut national des langues et civilisations orientales', 'Wako University']"
Q384863,['Keio University']
Q2015324,"['Aichi Prefectural University of Fine Arts and Music', 'Kunstakademie Düsseldorf']"
Q11538917,"['Saitama University', 'University of Tokyo']"
Q917318,"['Meiji Gakuin University', 'Meiji University']"
Q261703,"['Cairo  University', 'Kwansei Gakuin University', 'The American University in Cairo']"
Q241771,"[""Aoyama Gakuin Women's Junior College""]"
Q748582,['Tama Art University']
Q1323453,"[""Fuji Women's University""]"
Q316013,['Tokyo Institute of Technology']
Q467415,['Kyushu Sangyo University']
Q272469,['Tokai University']
Q256425,['University of Tsukuba']
Q2468115,['Nishio high school']
Q633278,['']
Q3276491,['Meiji University']
Q11443689,['Nagoya University']
Q1073993,['Rikkyo University']
Q1303674,['Meiji Gakuin University']
Q1196609,['Gakushuin University']
Q439417,['Nippon Sport Science University']
Q705221,['Rikkyo University']
Q1253343,['Nippon Sport Science University']
Q717038,"['University of California, Berkeley']"
Q130853,['National Conservatory of Music of Mexico']
Q168482,"['ETH Zurich', 'Polytechnic University of Valencia', 'Fu Foundation School of Engineering and Applied Science']"
Q122003,"['University of Murcia', 'University of Madrid', 'Complutense University of Madrid']"
Q485165,['Conservatori Superior de Música del Liceu']
