wikidata_code_b,educationQ20961731,['École nationale supérieure des Beaux-Arts']
Q18704566,"['Faculty of history of Belarusian State University', 'Institute of Sociology']"
Q6703475,['Defence Services Academy']
Q43193650,['Eduardo Mondlane University']
Q45319610,['Shota Rustaveli Theatre and Film University']
Q48926081,['American University of Beirut']
Q12541221,['Al-Farabi Kazakh National University']
Q12618060,['Kim Il-sung University']
Q23071136,"['St. Leo’s College, Kyegobe']"
Q16017913,['Carleton University']
Q12784585,['University of Ljubljana']
Q4520286,['Kyrgyz National University']
Q28500715,['Belarusian State Medical University']
Q4804493,['LaGuardia Community College']
Q4695925,"[""Sana'a University""]"
Q16730044,['Ghana Institute of Management and Public Administration']
Q50294468,['Somerville College']
Q4341915,['Belarusian State University']
Q16631366,"['Kim Il-sung University', 'Mangyongdae Revolutionary School']"
Q4073063,['Baku State University']
Q15993247,['Makerere University']
Q50402690,"['University of Bradford', 'Middlebury College']"
Q6873333,['Damascus University']
Q26703088,['University of the South Pacific']
Q21212246,['Moscow State Pedagogical University']
Q7525389,"['University of the South Pacific', 'Australian National University']"
Q7404569,['Fidel Castro Secondary School']
Q7287493,"[""St. John's College, Belize""]"
Q3561012,['Aix-Marseille University']
Q29294975,['Western Michigan University']
Q4430325,['Boris Shchukin Theatre Institute']
Q19662610,['Makerere University']
Q6760903,['University of Papua New Guinea']
Q20880434,['Cairo  University']
Q12553281,['Moscow State Pedagogical University']
Q4106183,['Azerbaijan State University of Culture and Arts']
Q7070853,['Moscow State University']
Q16137536,['University of South Africa']
Q4219596,['Baku State University']
Q9373950,['']
Q4070514,['Kuban State University']
Q6087896,"['Makerere University', 'University of Saskatchewan']"
Q54983272,['Belarusian State Medical University']
Q21066197,"['University of Miami', 'University of the West Indies']"
Q6363364,['Fourah Bay College']
Q12541999,['State Academic Institute of Fine Arts Surikov']
Q4402059,['Russian Institute of Theatre Arts']
Q9144060,['Academy of Public Administration']
Q4213420,"['National Polytechnic University of Armenia', 'Faculty of Law, Yerevan State University']"
Q37654667,"['University of Zagreb', 'University of Florence']"
Q24210317,"['Omar Bongo University', 'University Toulouse - Jean Jaurès']"
