wikidata_code_b,educationQ2127022,['The Royal Conservatory of Music']
Q7638222,"['John F. Kennedy School of Government', 'The Wharton School']"
Q8029835,['McGill University']
Q45201291,"['Boys Town', 'University of Santiago de Compostela']"
Q7610874,['Columbia University']
Q1873477,['Pontifical Gregorian University']
Q26702629,"['University of London', 'University of South Africa']"
Q6242503,['University of Papua New Guinea']
Q12296617,['Ss. Cyril and Methodius University of Skopje']
Q20091031,['Vidyaloka College']
Q4308742,['Siberian University of Consumer Cooperatives']
Q2694432,"['Moscow Theological Seminary', 'Moscow Theological Academy']"
Q1984160,"['Saint Petersburg State University', 'Taras Shevchenko National University of Kyiv']"
Q4497932,['Al-Farabi Kazakh National University']
Q20383769,['University of Baghdad']
Q93556,['Moldova State University']
Q4783923,"['Johannes Gutenberg University Mainz', 'New England Conservatory of Music']"
Q16186965,['Helwan University']
Q6351855,"['London School of Economics and Political Science', 'Makerere University']"
Q4057574,"['Moscow Conservatory', 'Baku Academy of Music']"
Q20677149,['Rhodes University']
Q18201431,['Grenoble Alpes University']
Q4804502,['Somali National University']
Q12785472,['University of Ljubljana']
Q16163714,['Kim Il-sung University']
Q16407530,['University of Tartu']
Q14734444,['Makerere University']
Q20823952,['University of Dhaka']
Q5628390,"['University of Ceylon', 'Lund University']"
Q13580422,['Lviv University']
Q6900029,"['University of Westminster', 'University of Zambia']"
Q4478808,['Gerasimov Institute of Cinematography']
Q6450943,['University of Yangon']
Q16187134,['Fourah Bay College']
Q3103889,['University of Madras']
Q5500572,['Université Félix Houphouët-Boigny']
Q1688040,"['University of California, Berkeley']"
Q17593714,['University of Latvia']
Q51135845,['Ecole Spéciale Militaire de Saint-Cyr']
Q16728456,['Addis Ababa University']
Q6178659,['Makerere University']
Q12557330,['Gerasimov Institute of Cinematography']
Q8067291,"['University of Medicine, Mandalay']"
Q12912924,"['Dartmouth College', 'University of Southern California']"
Q30917613,['Tulane University']
Q52834006,['Moscow State University']
Q7238270,['University of the South Pacific']
Q12755303,['University of Belgrade']
Q12228166,['University of Khartoum']
Q16123823,['Université de Montréal']
Q8029734,['Southern Illinois University Carbondale']
Q6409462,"['Troy University', 'Palm Beach State College']"
